x	abs(f(x) - g(x))	abs(f'(x) - g'(x))
0.5000000000000000	0.0000000000000000	0.4479380268853954
0.5125000000000000	0.0044224335784029	0.2654485166461122
0.5249999999999999	0.0067783094098885	0.1170675606765847
0.5374999999999999	0.0074860115404791	0.0015446206844127
0.5499999999999998	0.0069491911597175	0.0822303693117084
0.5624999999999998	0.0055584035847192	0.1352455212104333
0.5749999999999997	0.0036925317245684	0.1583827242965632
0.5874999999999997	0.0017200278258509	0.1524310591285412
0.5999999999999996	0.0000000000000002	0.1180982759930145
0.6124999999999996	0.0011871450135077	0.0728952234150197
0.6249999999999996	0.0018497949419003	0.0342697653223989
0.6374999999999995	0.0020734594675191	0.0027395445465941
0.6499999999999995	0.0019498045813833	0.0212270860044121
0.6624999999999994	0.0015760717993527	0.0372055366984716
0.6749999999999994	0.0010545619098252	0.0448101642058747
0.6874999999999993	0.0004921750398723	0.0436900619316885
0.6999999999999993	0.0000000000000002	0.0335253718712365
0.7124999999999992	0.0003325296551036	0.0201384079716835
0.7249999999999992	0.0005143945777453	0.0093764417935989
0.7374999999999992	0.0005768560129378	0.0009948236026789
0.7499999999999991	0.0005482456140353	0.0052308802308805
0.7624999999999991	0.0004542055731960	0.0095068592153285
0.7749999999999990	0.0003179055134168	0.0120228098981727
0.7874999999999990	0.0001602387241777	0.0129534940194405
0.7999999999999989	0.0000000000000000	0.0124601275917069
0.8124999999999989	0.0001465462762749	0.0108340230114017
0.8249999999999988	0.0002672994038124	0.0083552976794607
0.8374999999999988	0.0003524087392623	0.0051514675204638
0.8499999999999988	0.0003935585398436	0.0013407417568772
0.8624999999999987	0.0003838567386643	0.0029671737360963
0.8749999999999987	0.0003177332535886	0.0076703528301276
0.8874999999999986	0.0001908468897183	0.0126739963756533
0.8999999999999986	0.0000000000000000	0.0178898424512468
0.9124999999999985	0.0002493376787884	0.0214111140893665
0.9249999999999985	0.0005202945170049	0.0213365544980073
0.9374999999999984	0.0007674696922229	0.0175945071010883
0.9499999999999984	0.0009445963393331	0.0101179983451478
0.9624999999999984	0.0010045977870816	0.0011556248206077
0.9749999999999983	0.0008996394687186	0.0162850251412965
0.9874999999999983	0.0005811768900701	0.0353251761826114
0.9999999999999982	0.0000000000000002	0.0583276372750003
